month,bunker_type,bunker_sales
1995-01,Marine Gas Oil,135.4
1995-01,Marine Diesel Oil,67.9
1995-01,Marine Fuel Oil 180 cst,412.9
1995-01,Marine Fuel Oil 380 cst,820.3
1995-01,Marine Fuel Oil 500 cst +,0
1995-01,Low-Sulfur Marine Gas Oil,0
1995-01,Low-Sulfur Fuel Oil 100 cst,0
1995-01,Low-Sulfur Fuel Oil 180 cst,0
1995-01,Low-Sulfur Fuel Oil 380 cst,0
1995-01,Low-Sulfur Fuel Oil 500 cst,0
1995-01,Ultra Low-Sulfur Fuel Oil,0
1995-01,Others,128.8
1995-02,Marine Gas Oil,112.6
1995-02,Marine Diesel Oil,54.6
1995-02,Marine Fuel Oil 180 cst,360
1995-02,Marine Fuel Oil 380 cst,709.2
1995-02,Marine Fuel Oil 500 cst +,0
1995-02,Low-Sulfur Marine Gas Oil,0
1995-02,Low-Sulfur Fuel Oil 100 cst,0
1995-02,Low-Sulfur Fuel Oil 180 cst,0
1995-02,Low-Sulfur Fuel Oil 380 cst,0
1995-02,Low-Sulfur Fuel Oil 500 cst,0
1995-02,Ultra Low-Sulfur Fuel Oil,0
1995-02,Others,97.3
1995-03,Marine Gas Oil,115.3
1995-03,Marine Diesel Oil,60.6
1995-03,Marine Fuel Oil 180 cst,411.3
1995-03,Marine Fuel Oil 380 cst,807.4
1995-03,Marine Fuel Oil 500 cst +,0
1995-03,Low-Sulfur Marine Gas Oil,0
1995-03,Low-Sulfur Fuel Oil 100 cst,0
1995-03,Low-Sulfur Fuel Oil 180 cst,0
1995-03,Low-Sulfur Fuel Oil 380 cst,0
1995-03,Low-Sulfur Fuel Oil 500 cst,0
1995-03,Ultra Low-Sulfur Fuel Oil,0
1995-03,Others,116.5
1995-04,Marine Gas Oil,105.2
1995-04,Marine Diesel Oil,62.9
1995-04,Marine Fuel Oil 180 cst,412.6
1995-04,Marine Fuel Oil 380 cst,856.6
1995-04,Marine Fuel Oil 500 cst +,0
1995-04,Low-Sulfur Marine Gas Oil,0
1995-04,Low-Sulfur Fuel Oil 100 cst,0
